case_id,created_date,business_unit,product_type,process_name,workflow_stage,case_status,priority,channel,customer_segment,region,document_type,policy_reference,risk_band,transaction_amount_inr,customer_tenure_months,documents_submitted_count,fraud_alert_score,sla_hours,actual_tat_hours,sla_breach_flag,rework_count,exception_flag,csat_score,root_cause,resolution_code,knowledge_article_tag,case_summary,resolution_notes,closure_date
LO-2025-000001,2025-09-16,Application Intake,SME Working Capital,Sanction Review,Validation,Pending Documents,Low,Relationship Manager,Affluent,Central,Dispute Form,POL-KYC-101,High,12756033.43,69,1,47.2,30,34.9,Yes,1,No,3.2,Missing Document,Closed - Withdrawn,Income Assessment,Relationship Manager request raised for SME Working Capital. Team observed collateral valuation gap in Validation; case routed to Application Intake.,Exception memo logged. Customer segment Affluent; resolution path is update sanction terms.,
LO-2025-000002,2025-11-06,Servicing & Amendments,Personal Loan,Application Review,Post-Disbursement,Pending Documents,Medium,Web Portal,Retail Mass,East,Income Proof,POL-KYC-101,Moderate,554919.33,17,4,42.3,24,25.3,Yes,0,No,3.9,Customer Dispute,Resolved - Manual Review,Income Assessment,Case originated via Web Portal for Personal Loan. signature mismatch caused delay at Post-Disbursement; refer POL-KYC-101.,Analyst checked Income Proof and updated workflow to Pending Documents. Next step: complete disbursement check.,
LO-2025-000003,2025-08-21,Servicing & Amendments,Personal Loan,Complaint Resolution,Exception Handling,In Review,Low,Branch,Affluent,East,Income Proof,POL-COMP-709,High,449734.91,37,5,67.9,54,59.7,Yes,1,No,4.1,Address Mismatch,Escalated to Ops Manager,Income Assessment,Branch request raised for Personal Loan. Team observed duplicate request in Exception Handling; case routed to Servicing & Amendments.,Branch follow-up completed. duplicate request remains open; refer to POL-COMP-709 before update sanction terms.,
LO-2025-000004,2025-06-11,Disbursement Control,SME Working Capital,KYC Verification,Approval,Pending Documents,High,Branch,Retail Mass,Central,Sanction Letter,POL-SERV-605,High,4551325.96,11,3,13.6,10,17,Yes,2,Yes,3.9,System Queue Delay,Closed - Withdrawn,KYC Exception,Customer submitted closure request for SME Working Capital; collateral valuation gap flagged during KYC Verification. Sanction Letter review required under POL-SERV-605.,Branch follow-up completed. collateral valuation gap remains open; refer to POL-SERV-605 before update sanction terms.,
LO-2025-000005,2025-02-16,Complaints & Exceptions,Auto Loan,Closure Request,Intake,Pending Documents,High,Mobile App,SME,West,Dispute Form,POL-DOC-330,High,734713.78,17,4,73.6,18,33.9,Yes,4,Yes,3.6,Address Mismatch,Resolved - Manual Review,Collateral Review,Mobile App request raised for Auto Loan. Team observed fraud suspicion in Intake; case routed to Complaints & Exceptions.,Ops reviewer tagged case as High due to fraud suspicion. Suggested action: complete disbursement check.,
LO-2025-000006,2025-08-11,Disbursement Control,Auto Loan,Closure Request,Approval,Closed,High,Branch,SME,Central,Collateral Deed,POL-COMP-709,High,736966.56,56,3,61.8,18,25.8,Yes,1,No,3.7,Signature Mismatch,Resolved - Manual Review,Rate Revision,Customer requested sanction clarification for Auto Loan; income variance flagged during Closure Request. Collateral Deed review required under POL-COMP-709.,Branch follow-up completed. income variance remains open; refer to POL-COMP-709 before seek risk approval.,2025-08-12
LO-2025-000007,2025-07-05,KYC & Document Validation,Credit Card,Fraud Review,Approval,Pending Documents,High,Mobile App,SME,Central,KYC Pack,POL-SLA-512,Low,101068.25,38,1,15.1,6,1,No,0,No,3.9,System Queue Delay,Closed - Withdrawn,Fraud Escalation,Customer submitted closure request for Credit Card; name mismatch flagged during Fraud Review. KYC Pack review required under POL-SLA-512.,Analyst checked KYC Pack and updated workflow to Pending Documents. Next step: trigger manual credit review.,
LO-2025-000008,2025-12-10,Complaints & Exceptions,Credit Card,Fraud Review,Post-Disbursement,Pending Documents,Medium,Mobile App,Retail Mass,Central,Dispute Form,POL-CREDIT-214,High,78875.38,27,2,67.9,8,12.6,Yes,0,Yes,5,Fraud Suspected,Rejected - Risk,Sanction Conditions,Case originated via Mobile App for Credit Card. AML alert caused delay at Post-Disbursement; refer POL-CREDIT-214.,Exception memo logged. Customer segment Retail Mass; resolution path is trigger manual credit review.,
LO-2025-000009,2025-05-23,KYC & Document Validation,Home Loan,Complaint Resolution,Approval,Approved,Low,Relationship Manager,Retail Mass,North,KYC Pack,POL-COMP-709,High,4719502.43,39,7,24.2,54,48.8,No,0,No,4.8,System Queue Delay,Closed - Withdrawn,Income Assessment,Relationship Manager request raised for Home Loan. Team observed fraud suspicion in Approval; case routed to KYC & Document Validation.,Exception memo logged. Customer segment Retail Mass; resolution path is update sanction terms.,2025-05-25
LO-2025-000010,2025-04-09,Application Intake,Credit Card,KYC Verification,Fulfillment,In Review,Medium,Email,Retail Mass,North,KYC Pack,POL-FRAUD-418,High,74754.40,14,3,56.6,12,19.7,Yes,3,Yes,2.5,Rate Revision Request,Closed - Withdrawn,Rate Revision,Email request raised for Credit Card. Team observed income variance in Fulfillment; case routed to Application Intake.,Ops reviewer tagged case as Medium due to income variance. Suggested action: close as duplicate.,
