case_id,created_date,business_unit,product_type,process_name,workflow_stage,case_status,priority,channel,customer_segment,region,document_type,policy_reference,risk_band,transaction_amount_inr,customer_tenure_months,documents_submitted_count,fraud_alert_score,sla_hours,actual_tat_hours,sla_breach_flag,rework_count,exception_flag,csat_score,root_cause,resolution_code,knowledge_article_tag,case_summary,resolution_notes,closure_date
LO-2025-000001,2025-09-16,Application Intake,SME Working Capital,Sanction Review,Validation,Pending Documents,Low,Relationship Manager,Affluent,Central,Dispute Form,POL-KYC-101,High,"1,27,56,033.43",69,1,47.2,30,34.9,Yes,1,No,3.2,Missing Document,Closed - Withdrawn,Income Assessment,Relationship Manager request raised for SME Working Capital. Team observed collateral valuation gap in Validation; case routed to Application Intake.,Exception memo logged. Customer segment Affluent; resolution path is update sanction terms.,
LO-2025-000002,2025-09-17,Servicing & Amendments,Personal Loan,Application Review,Post-Disbursement,Pending Documents,Medium,Web Portal,Retail Mass,East,Income Proof,POL-KYC-101,Moderate,"5,54,919.33",17,4,42.3,24,25.3,Yes,0,No,3.9,Customer Dispute,Resolved - Manual Review,Income Assessment,Case originated via Web Portal for Personal Loan. signature mismatch caused delay at Post-Disbursement; refer POL-KYC-101.,Analyst checked Income Proof and updated workflow to Pending Documents. Next step: complete disbursement check.,
LO-2025-000003,2025-09-18,Servicing & Amendments,Personal Loan,Complaint Resolution,Exception Handling,In Review,Low,Branch,Affluent,East,Income Proof,POL-COMP-709,High,"4,49,734.91",37,5,67.9,54,59.7,Yes,1,No,4.1,Address Mismatch,Escalated to Ops Manager,Income Assessment,Branch request raised for Personal Loan. Team observed duplicate request in Exception Handling; case routed to Servicing & Amendments.,Branch follow-up completed. duplicate request remains open; refer to POL-COMP-709 before update sanction terms.,
LO-2025-000004,2025-09-19,Disbursement Control,SME Working Capital,KYC Verification,Approval,Pending Documents,High,Branch,Retail Mass,Central,Sanction Letter,POL-SERV-605,High,"45,51,325.96",11,3,13.6,10,17,Yes,2,Yes,3.9,System Queue Delay,Closed - Withdrawn,KYC Exception,Customer submitted closure request for SME Working Capital; collateral valuation gap flagged during KYC Verification. Sanction Letter review required under POL-SERV-605.,Branch follow-up completed. collateral valuation gap remains open; refer to POL-SERV-605 before update sanction terms.,
LO-2025-000005,2025-09-20,Complaints & Exceptions,Auto Loan,Closure Request,Intake,Pending Documents,High,Mobile App,SME,West,Dispute Form,POL-DOC-330,High,"7,34,713.78",17,4,73.6,18,33.9,Yes,4,Yes,3.6,Address Mismatch,Resolved - Manual Review,Collateral Review,Mobile App request raised for Auto Loan. Team observed fraud suspicion in Intake; case routed to Complaints & Exceptions.,Ops reviewer tagged case as High due to fraud suspicion. Suggested action: complete disbursement check.,
LO-2025-000006,2025-09-21,Disbursement Control,Auto Loan,Closure Request,Approval,Closed,High,Branch,SME,Central,Collateral Deed,POL-COMP-709,High,"7,36,966.56",56,3,61.8,18,25.8,Yes,1,No,3.7,Signature Mismatch,Resolved - Manual Review,Rate Revision,Customer requested sanction clarification for Auto Loan; income variance flagged during Closure Request. Collateral Deed review required under POL-COMP-709.,Branch follow-up completed. income variance remains open; refer to POL-COMP-709 before seek risk approval.,12/08/25
LO-2025-000007,2025-09-22,KYC & Document Validation,Credit Card,Fraud Review,Approval,Pending Documents,High,Mobile App,SME,Central,KYC Pack,POL-SLA-512,Low,"1,01,068.25",38,1,15.1,6,1,No,0,No,3.9,System Queue Delay,Closed - Withdrawn,Fraud Escalation,Customer submitted closure request for Credit Card; name mismatch flagged during Fraud Review. KYC Pack review required under POL-SLA-512.,Analyst checked KYC Pack and updated workflow to Pending Documents. Next step: trigger manual credit review.,
LO-2025-000008,2025-09-23,Complaints & Exceptions,Credit Card,Fraud Review,Post-Disbursement,Pending Documents,Medium,Mobile App,Retail Mass,Central,Dispute Form,POL-CREDIT-214,High,"78,875.38",27,2,67.9,8,12.6,Yes,0,Yes,5,Fraud Suspected,Rejected - Risk,Sanction Conditions,Case originated via Mobile App for Credit Card. AML alert caused delay at Post-Disbursement; refer POL-CREDIT-214.,Exception memo logged. Customer segment Retail Mass; resolution path is trigger manual credit review.,
LO-2025-000009,2025-09-24,KYC & Document Validation,Home Loan,Complaint Resolution,Approval,Approved,Low,Relationship Manager,Retail Mass,North,KYC Pack,POL-COMP-709,High,"47,19,502.43",39,7,24.2,54,48.8,No,0,No,4.8,System Queue Delay,Closed - Withdrawn,Income Assessment,Relationship Manager request raised for Home Loan. Team observed fraud suspicion in Approval; case routed to KYC & Document Validation.,Exception memo logged. Customer segment Retail Mass; resolution path is update sanction terms.,25/05/25
LO-2025-000010,2025-09-25,Application Intake,Credit Card,KYC Verification,Fulfillment,In Review,Medium,Email,Retail Mass,North,KYC Pack,POL-FRAUD-418,High,"74,754.40",14,3,56.6,12,19.7,Yes,3,Yes,2.5,Rate Revision Request,Closed - Withdrawn,Rate Revision,Email request raised for Credit Card. Team observed income variance in Fulfillment; case routed to Application Intake.,Ops reviewer tagged case as Medium due to income variance. Suggested action: close as duplicate.,
LO-2025-000011,2025-09-26,Complaints & Exceptions,Auto Loan,Closure Request,Post-Disbursement,Closed,Low,Mobile App,Affluent,North,Income Proof,POL-COMP-709,Severe,"10,19,218.65",49,2,92.2,26,29.3,Yes,0,No,4.2,Address Mismatch,Closed - Duplicate,Collateral Review,Customer submitted closure request for Auto Loan; duplicate request flagged during Closure Request. Income Proof review required under POL-COMP-709.,Exception memo logged. Customer segment Affluent; resolution path is collect pending documents.,05/09/25
LO-2025-000012,2025-09-27,Servicing & Amendments,Auto Loan,Closure Request,Validation,Escalated,High,Relationship Manager,Affluent,West,Bank Statement,POL-CREDIT-214,Moderate,"6,50,628.81",31,7,21.4,18,24.2,Yes,4,Yes,2.3,Collateral Valuation Gap,Resolved - Manual Review,Sanction Conditions,Case originated via Relationship Manager for Auto Loan. name mismatch caused delay at Validation; refer POL-CREDIT-214.,Ops reviewer tagged case as High due to name mismatch. Suggested action: collect pending documents.,
LO-2025-000013,2025-09-28,Application Intake,Credit Card,KYC Verification,Fulfillment,Pending Documents,Low,Email,Retail Mass,Central,KYC Pack,POL-SLA-512,High,"78,170.14",28,5,66.4,18,26.7,Yes,5,Yes,3.4,Name Mismatch,Escalated to Ops Manager,Closure & NOC,Email request raised for Credit Card. Team observed address mismatch in Fulfillment; case routed to Application Intake.,Exception memo logged. Customer segment Retail Mass; resolution path is seek risk approval.,
LO-2025-000014,2025-09-29,Complaints & Exceptions,Personal Loan,KYC Verification,Intake,Rejected,Medium,Branch,Affluent,Central,Collateral Deed,POL-CREDIT-214,High,"5,31,811.14",49,13,58.3,12,29.8,Yes,4,Yes,2.8,System Queue Delay,Resolved - Manual Review,Income Assessment,Affluent borrower submitted Collateral Deed; collateral valuation gap noted while performing KYC Verification. Manual review requested.,Analyst checked Collateral Deed and updated workflow to Rejected. Next step: close as duplicate.,27/05/25
LO-2025-000015,2025-09-30,Application Intake,Loan Against Property,KYC Verification,Exception Handling,Escalated,Low,Web Portal,Retail Mass,East,Sanction Letter,POL-SERV-605,High,"14,92,179.89",38,1,68.6,18,21.8,Yes,3,Yes,2.7,Signature Mismatch,Awaiting Customer Action,Disbursement Hold,Case originated via Web Portal for Loan Against Property. fraud suspicion caused delay at Exception Handling; refer POL-SERV-605.,Analyst checked Sanction Letter and updated workflow to Escalated. Next step: collect pending documents.,
LO-2025-000016,2025-10-01,Disbursement Control,Credit Card,Sanction Review,Validation,In Review,High,Mobile App,Retail Mass,South,KYC Pack,POL-COMP-709,Moderate,"1,21,396.15",43,3,30.5,22,17.3,No,0,No,5,System Queue Delay,Rejected - Risk,SLA Monitoring,Retail Mass borrower submitted KYC Pack; fraud suspicion noted while performing Sanction Review. Manual review requested.,Analyst checked KYC Pack and updated workflow to In Review. Next step: re-run KYC screening.,
LO-2025-000017,2025-10-02,Disbursement Control,SME Working Capital,Disbursement,Post-Disbursement,Closed,Medium,Mobile App,Retail Mass,South,Bank Statement,POL-COMP-709,High,"72,93,476.35",59,4,50.4,16,16.1,Yes,0,No,4.8,Income Variance,Resolved - Standard,Closure & NOC,Retail Mass borrower submitted Bank Statement; name mismatch noted while performing Disbursement. Manual review requested.,Analyst checked Bank Statement and updated workflow to Closed. Next step: complete disbursement check.,21/06/25
LO-2025-000018,2025-10-03,KYC & Document Validation,Credit Card,Closure Request,Decisioning,Closed,High,Branch,Affluent,West,Closure Request,POL-DOC-330,Severe,"2,51,345.83",39,2,89.6,18,22.8,Yes,0,No,4.2,Name Mismatch,Escalated to Ops Manager,Disbursement Hold,Customer requested disbursement for Credit Card; signature mismatch flagged during Closure Request. Closure Request review required under POL-DOC-330.,Branch follow-up completed. signature mismatch remains open; refer to POL-DOC-330 before seek risk approval.,15/12/25
LO-2025-000019,2025-10-04,Disbursement Control,Home Loan,Disbursement,Fulfillment,In Review,Medium,Mobile App,Retail Mass,Central,Sanction Letter,POL-DOC-330,High,"42,80,887.45",51,6,23.1,16,15.3,No,2,Yes,4,Missing Document,Escalated to Ops Manager,Closure & NOC,Retail Mass borrower submitted Sanction Letter; name mismatch noted while performing Disbursement. Manual review requested.,Branch follow-up completed. name mismatch remains open; refer to POL-DOC-330 before trigger manual credit review.,
LO-2025-000020,2025-10-05,Disbursement Control,Personal Loan,Disbursement,Decisioning,In Review,Low,Web Portal,Corporate,South,Collateral Deed,POL-FRAUD-418,High,"4,61,762.60",64,11,75.6,22,37.2,Yes,0,Yes,4.2,Fraud Suspected,Closed - Withdrawn,KYC Exception,Case originated via Web Portal for Personal Loan. AML alert caused delay at Decisioning; refer POL-FRAUD-418.,Exception memo logged. Customer segment Corporate; resolution path is update sanction terms.,
LO-2025-000021,2025-10-06,Complaints & Exceptions,Credit Card,Income Validation,Fulfillment,In Review,High,Mobile App,Retail Mass,South,Collateral Deed,POL-CREDIT-214,Low,"1,08,266.26",23,11,4.6,16,16.9,Yes,1,No,3.5,Address Mismatch,Closed - Withdrawn,Collateral Review,Case originated via Mobile App for Credit Card. name mismatch caused delay at Fulfillment; refer POL-CREDIT-214.,Ops reviewer tagged case as High due to name mismatch. Suggested action: complete disbursement check.,
LO-2025-000022,2025-10-07,Application Intake,Auto Loan,Application Review,Exception Handling,Closed,High,Relationship Manager,Retail Mass,Central,Exception Memo,POL-KYC-101,Severe,"10,25,964.72",36,1,98.5,22,13.3,No,4,Yes,2.8,Fraud Suspected,Rejected - Policy,Sanction Conditions,Case originated via Relationship Manager for Auto Loan. income variance caused delay at Exception Handling; refer POL-KYC-101.,Exception memo logged. Customer segment Retail Mass; resolution path is contact customer for clarification.,11/03/25
LO-2025-000023,2025-10-08,Credit Decision Support,Credit Card,Sanction Review,Post-Disbursement,Closed,Medium,Relationship Manager,Affluent,South,Collateral Deed,POL-FRAUD-418,High,"88,693.85",65,7,77.3,24,29.6,Yes,1,No,4.1,Name Mismatch,Rejected - Policy,Disbursement Hold,Relationship Manager request raised for Credit Card. Team observed collateral valuation gap in Post-Disbursement; case routed to Credit Decision Support.,Ops reviewer tagged case as Medium due to collateral valuation gap. Suggested action: complete disbursement check.,22/06/25
